SKU	Product Area	Rule Name	Rule ID	Config Reference	Description	Cursor Generated Description	Code Reference	Current Feature ID	Current Feature Name	Action	New Feature Alignment	Updates to rule logic
Talent Acquisition - Core	Talent Acquisition - Core	Feedback report	feedback_report	interview_feedback_config → report_columns	Defines the columns, display names, fields, formatting, and widths for the consolidated feedback report.	**Purpose:** Validates that feedback report columns are configured for consolidated interview feedback viewing.<br><br>**Impact:** Misconfigured reports affect how recruiters and hiring managers review interview feedback.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Interview Feedback. Configure report columns and formatting.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	interview_feedback	Interview feedback	Keep as is	Interview Feedback	
Talent Acquisition - Core	Talent Acquisition - Core	Dashboard columns list	dashboard_columns_list	interview_feedback_config → dashboard_columns_list	Configures the list of columns displayed on the feedback dashboard to provide relevant and actionable information to users.	**Purpose:** Validates that feedback dashboard columns are configured for the Interview Feedback Center.<br><br>**Impact:** Missing columns reduce dashboard usefulness for managing feedback across interviews.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Interview Feedback. Configure dashboard_columns_list.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	interview_feedback	Interview feedback	Keep as is	Interview Feedback	
Talent Acquisition - Core	Talent Acquisition - Core	Feedback Forms Configured	feedback_forms_configured_cs	integrations/interview_feedback_config → forms	Ensures that feedback form templates are configured. Forms define the structure and questions for interview feedback.	**Purpose:** Validates that at least one interview feedback form template exists with questions for interviewers to provide structured feedback.<br><br>**Impact:** Without form templates, interviewers cannot submit structured feedback through the platform.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Interview Feedback. Create at least one feedback form template with rating scales and open-ended questions.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Interview Feedback	New/Add	Interview Feedback	
Talent Acquisition - Core	Talent Acquisition - Core	Interview Feedback Configuration Enabled	feedback_config_enabled_cs	integrations/interview_feedback_config → enabled	Ensures that interview feedback feature is configured and enabled, allowing interviewers to submit structured feedback.	**Purpose:** Validates that interview feedback feature is enabled for collecting structured interviewer feedback.<br><br>**Impact:** Without enablement, interview feedback cannot be collected through the platform.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Interview Feedback Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Interview Feedback	New/Add	Interview Feedback	
Talent Acquisition - Core	Talent Acquisition - Core	Timezone	scheduling_timezone	scheduling_config → timezone	Ensures a default interview timezone is configured for scenarios where user-defined or calendar-specific timezones are unavailable.	**Purpose:** Validates that a default timezone is configured for interview scheduling to prevent time confusion.<br><br>**Impact:** Missing timezone can cause scheduling errors and incorrect time display.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling. Set default timezone.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	smart_scheduling	Scheduling	Update	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Schedule action	standard_schedule_action	workflow_config → schedule_action	Ensures the scheduling action is enabled on the profile or pipeline page, allowing recruiters to initiate interview scheduling directly.	**Purpose:** Validates that the scheduling action button is enabled on pipeline and profile pages.<br><br>**Impact:** Without the action, recruiters cannot initiate interview scheduling from the candidate context.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling. Enable schedule action in pipeline configuration.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	smart_scheduling	Scheduling	Update	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Integration Configured	scheduling_integration_configured_cs	integrations/scheduling_config → calendarProvider / branding / preferences	Ensures that calendar integration is configured with provider credentials. Integration is required for checking availability and creating calendar events.	**Purpose:** Validates that calendar integration is configured for interview scheduling, enabling automatic availability checking and calendar event creation.<br><br>**Impact:** Without calendar integration, interviewers cannot have their availability checked automatically.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling Config. Select calendar provider (Google/Microsoft) and complete OAuth configuration.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	Calendar integration doesnt require any specific setup with regards to Provider credentials. Global Rules should include checks on Branding Config, Company Name, Calendar Provider, Availability, Preferences
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Center Filter Configuration	scheduling_center_filter_config_cs	scheduling_config → scheduling_center_filters → facet_limit	Ensures that filters in the Scheduling Center (hiring manager, location, etc.) have appropriate facet limits and autocomplete configurations.	**Purpose:** Validates that scheduling center filters have appropriate maximum values (facet_limit) to prevent overwhelming filter options.<br><br>**Impact:** Without limits, filters may show too many options, making the interface difficult to use.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling Config → Filters. Set appropriate facet_limit values for each filter.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	For this functionality, EF has default configuration that most customers are happy with
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Templates Configured	scheduling_templates_exist_cs	integrations/scheduling_config → templates	Ensures that scheduling templates are configured, defining interview types, durations, and participant roles.	**Purpose:** Validates that at least one scheduling template exists defining interview structure (type, duration, participants).<br><br>**Impact:** Without templates, interviews cannot be scheduled as there's no defined structure.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling Templates. Create templates with duration, interview type, and participant roles.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Template Permissions	scheduling_template_permissions_cs	scheduling_config → template_permissions	Ensures that role permissions for scheduling templates are correctly configured.	**Purpose:** Validates that job requisition template permissions are properly configured, controlling who can use which templates.<br><br>**Impact:** Incorrect permissions may prevent users from creating requisitions or allow unauthorized template access.<br><br>**To Fix:** Review template permissions. Ensure appropriate users/roles have access to relevant templates.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Configuration Enabled	scheduling_config_enabled_cs	integrations/scheduling_config → enabled	Ensures that smart scheduling feature is configured and enabled, allowing automated interview scheduling.	**Purpose:** Validates that smart scheduling feature is enabled for interview scheduling functionality.<br><br>**Impact:** Without enablement, interview scheduling features are completely unavailable.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Calendar Provider	enabled_for_scheduling	scheduling_config → calendarProvider (google_calendar / microsoft_outlook_365)	Ensures a calendar provider (e.g., Google Calendar, Microsoft Outlook 365) is configured to enable seamless interview scheduling.	**Purpose:** Validates that a calendar provider is configured for interview scheduling integration.<br><br>**Impact:** Without calendar provider, interviews cannot be synchronized with calendars.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling. Configure calendarProvider (Google Calendar, Microsoft 365).	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	smart_scheduling	Scheduling	Update	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Workflow Automation Configuration Enabled	workflow_automation_enabled_cs	integrations/workflow_automation_config → enabled	Ensures that workflow automation feature is configured and enabled, allowing creation of automated candidate workflows.	**Purpose:** Validates that workflow automation feature is enabled for creating automated candidate workflows.<br><br>**Impact:** Without enablement, automated workflows cannot be created or executed.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Workflow Automation Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Workflow Automation	New/Add	Workflow Automation	
Talent Acquisition - Core	Talent Acquisition - Core	Workflow Triggers Configured	workflow_triggers_valid_cs	workflows → triggers (event_type, conditions)	Ensures that at least one workflow trigger is configured. Triggers define when workflows execute (stage change, application, etc.).	**Purpose:** Validates that at least one workflow trigger is configured with valid events and conditions for automation.<br><br>**Impact:** Without triggers, automated workflows cannot execute as there's no defined trigger condition.<br><br>**To Fix:** Navigate to Admin Console → Workflows. Configure at least one trigger with event type (stage change, application, etc.) and conditions.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Workflow Automation	New/Add	Workflow Automation	
Talent Acquisition - Core	Talent Acquisition - Core	Communities disabled text	extension_communities_disabled_text	extension_config → communities_disabled_text	Configures a clear and actionable message displayed when the Communities feature is disabled.	**Purpose:** Validates that a clear message is configured when Communities feature is disabled in the Chrome Extension.<br><br>**Impact:** Without clear messaging, extension users may be confused about feature unavailability.<br><br>**To Fix:** Configure descriptive disabled text explaining why Communities is unavailable and how to enable.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	chrome_extension	Chrome Extension	Keep as is	Chrome Extension	
Talent Acquisition - Core	Talent Acquisition - Core	Reminder action	extension_reminder_action	extension_config → reminder_action	Ensures that reminders set by users on a candidate's profile are visible across all platforms, including the EF extension.	**Purpose:** Validates that reminder functionality is configured in the Chrome Extension for team-wide candidate reminder visibility.<br><br>**Impact:** Without reminders, team members may duplicate outreach efforts or miss follow-ups.<br><br>**To Fix:** Configure reminder_action in extension configuration to enable team-wide reminder visibility.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	chrome_extension	Chrome Extension	Keep as is	Chrome Extension	
Talent Acquisition - Core	Talent Acquisition - Core	App config	app_configs	extension_config → app_configs (linkedin, naukri, github hostnames)	Ensures that the hostname is set in the app_configs section of extension config for linkedin, naukri and github.	**Purpose:** Validates that hostname configurations are set for LinkedIn, Naukri, and GitHub in the Chrome Extension.<br><br>**Impact:** Missing hostname configuration prevents profile parsing from these job sites.<br><br>**To Fix:** Configure app_configs with correct hostnames for each supported site in extension settings.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	chrome_extension	Chrome Extension	Keep as is	Chrome Extension	
Talent Acquisition - Core	Talent Acquisition - Core	Actions	extension_actions	extension_config → actions / sub_actions	Ensures that all actions and sub-actions are correctly set up so recruiters and sourcers have a smooth, intuitive experience managing candidates.	**Purpose:** Validates that all extension actions (save candidate, mark status, set reminder) are properly configured.<br><br>**Impact:** Missing or misconfigured actions prevent recruiters from managing candidates through the extension.<br><br>**To Fix:** Configure all actions and sub-actions in extension configuration for complete candidate management.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	chrome_extension	Chrome Extension	Update	Chrome Extension	Phase 1 - Description
Talent Acquistion CRM Add-On	Talent Acquisition - Event Recruiting	Event Recruiting Configuration Enabled	event_config_enabled_cs	integrations/planned_event_config → enabled	Ensures that event recruiting feature is configured and enabled, allowing creation and management of recruiting events.	**Purpose:** Validates that event recruiting is enabled, allowing creation and management of recruiting events (career fairs, info sessions, etc.).<br><br>**Impact:** Without enablement, event recruiting features are completely unavailable.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Event Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Event Recruiting	New/Add	Event Recruiting	
Talent Acquistion CRM Add-On	Talent Acquisition - Event Recruiting	Event Stages Configured	event_stages_configured_cs	integrations/planned_event_workflow_config → stages	Ensures that event-specific pipeline stages are configured, defining how candidates progress through event recruiting.	**Purpose:** Validates that event-specific pipeline stages (Registered, Attended, Interviewed, etc.) are configured for candidate tracking.<br><br>**Impact:** Without stages, candidates in events cannot be progressed through event workflows.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Event Workflow Config. Define event stages with appropriate actions.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Event Recruiting	New/Add	Event Recruiting	
Talent Acquistion CRM Add-On	Talent Acquisition - Event Recruiting	Event Home Configuration Valid	event_home_config_valid_cs	integrations/planned_event_home_config → columns / filters	Ensures that event home configuration is set up, controlling how events are displayed and listed in the UI.	**Purpose:** Validates that the Event Home page is properly configured with display settings for the events list.<br><br>**Impact:** Invalid configuration may cause the events list to display incorrectly or not at all.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Event Home Config. Configure columns, filters, and display settings.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Event Recruiting	New/Add	Event Recruiting	
Talent Acquistion CRM Add-On	Talent Acquisition - Event Recruiting	Event Assessment Error Message Capture	event_assessment_error_capture_cs	assessment_config → error_messages	Ensures that when assessment requests fail and candidates are moved to Assessment Error stage, the error message is captured.	**Purpose:** Validates that assessment integration error messages are properly configured to provide clear feedback when assessment triggers fail.<br><br>**Impact:** Without proper error messaging, troubleshooting assessment failures becomes difficult.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Assessment Config. Configure error_messages for common failure scenarios.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Event Recruiting	New/Add	Event Recruiting	
Talent Acquistion CRM Add-On	Talent Acquisition - Event Recruiting	Event Assessment Trigger Configuration	event_assessment_trigger_config_cs	assessment_config → triggers (event_type, assessment_provider, conditions)	Ensures that event assessment triggers are configured to pass all required fields to external assessment systems.	**Purpose:** Validates that assessment triggers are fully configured with all required fields including trigger event, assessment type, and conditions.<br><br>**Impact:** Incomplete trigger configuration prevents assessments from being sent to candidates automatically.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Assessment Config → Triggers. Ensure each trigger has event type, assessment provider, conditions defined.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Event Recruiting	New/Add	Event Recruiting	
Talent Acquistion CRM Add-On	Talent Acquisition - Smart Campaigns	Smart Campaigns Configuration Enabled	campaign_config_enabled_cs	integrations/campaign_config → enabled	Ensures that smart campaigns feature is configured and enabled, allowing creation of candidate nurture campaigns.	**Purpose:** Validates that smart campaigns feature is enabled for automated candidate nurture workflows.<br><br>**Impact:** Without enablement, automated campaign features for candidate engagement are unavailable.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Campaign Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Campaigns	New/Add	Smart Campaigns	
Talent Acquistion CRM Add-On	Talent Acquisition - Smart Campaigns	Campaign Email Templates Configured	campaign_email_templates_exist_cs	integrations/email_templates → campaign templates (minimum 1)	Ensures that email templates specific to campaigns are configured for candidate outreach.	**Purpose:** Validates that email templates exist for use in smart campaigns, enabling automated candidate nurture sequences.<br><br>**Impact:** Without campaign templates, smart campaigns cannot send automated emails to candidates.<br><br>**To Fix:** Navigate to Admin Console → Email Templates. Create templates and tag them for campaign use. Include merge fields for personalization.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Campaigns	New/Add	Smart Campaigns	System should check for at least 1 associated campaign template is configured in the system
Talent Acquistion CRM Add-On	Talent Acquisition - Talent Communities	Talent Communities Configuration Enabled	community_config_enabled_cs	integrations/community_home_config → enabled	Ensures that talent communities feature is configured and enabled, allowing creation and management of talent pools.	**Purpose:** Validates that talent communities feature is enabled for managing talent pools and prospect engagement.<br><br>**Impact:** Without enablement, talent community features for nurturing prospects are unavailable.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Community Home Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Talent Communities	New/Add	Talent Communities	
Talent Acquistion CRM Add-On	Talent Acquisition - Talent Communities	Community Pipeline Stages Configured	community_stages_configured_cs	integrations/community_workflow_config → stages	Ensures that community pipeline stages are configured, defining how candidates progress within talent communities.	**Purpose:** Validates that pipeline stages are configured for talent communities, enabling progression tracking for community members.<br><br>**Impact:** Without stages, community members cannot be tracked through engagement workflows.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Community Workflow Config. Define stages (e.g., New, Engaged, Nurtured, Applied).	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Talent Communities	New/Add	Talent Communities	
Talent Acquistion CRM Add-On	Talent Acquisition - Talent Communities	Community Home	community_home	community_home_config → available_filters / filter_to_fq_data_map / columns	This rule verifies that the Community Home page is correctly configured by ensuring the presence and validity of key objects.	**Purpose:** Validates that Community Home configuration is complete with available_filters, filter_to_fq_data_map, and columns for the dashboard.<br><br>**Impact:** Missing configuration causes the Community Home page to be non-functional or display incorrectly.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Communities. Configure available_filters, filter_to_fq_data_map, and columns.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	talent_communities	Talent communities	Update	Talent Communities	Currently, the rule only checks if the available_filters is not empty or null. But it should also check for filter_to_fq_data_map and columns Phase 1 - Description Phase 2 - logic update
