SKU	Product Area	Rule Name	Rule ID	Config Reference	Description	Cursor Generated Description	Current Feature ID	Current Feature Name	Action to be taken	Feature Alignment	Updated Description (If needed)	Updates to rule logic (If needed)	Notes	Required changes	Progress
Talent Managment Core	Talent Management - Core	Similar People	similar_people_filter_list		Ensures the filter list for similar people recommendations in Career Hub is configured. This feature shows employees other people with similar current or target titles for networking and exploration.<br><br><h5>Impact of Failure</h5>If not configured, employees may see irrelevant recommendations or fail to see potential peers, reducing the utility of Career Hub.	**Purpose:** Validates that the Similar People recommendation filter is configured, showing employees with similar roles/skills for networking.<br><br>**Impact:** Without configuration, employees cannot discover peers for collaboration and networking.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub → Feeds. Configure similar_people with appropriate filters.	recommendation_feeds	Recommendation Feeds	Update	Core Talent Management (Employee Profiles and Career Hub homepage)					Partial Complete
Talent Managment Core	Talent Management - Core	Career Hub Home Page Card Configuration	ta_email_template_variables_cj	Home page feature cards may be disabled. Go to  integrations/career_hub_base_config::product_configs>employee'>Career Hub Base Config</a> and verify:<br>1. In 'home_page_config' > 'cards', enable desired feature cards<br>2. For Mentors: ensure 'recommended_mentors' card is enabled<br>3. For Courses: ensure 'recommended_courses' card is enabled<br>4. For Career Navigator: ensure 'career_navigator_tour' card is enabled<br>5. Check card display order and personalization settings	Ensures that key Career Hub feature cards are enabled and visible on the employee home page, including Mentors, Courses, Career Navigator Tour, and other discovery features.<br><br><h5>Impact of Failure</h5>Important Career Hub features are not visible to employees on their home page, reducing feature discoverability and adoption.	**Purpose:** Validates that email templates use consistent and valid variable placeholders for candidate and job information.<br><br>**Impact:** Invalid variables cause email personalization to fail, showing placeholder text to candidates.<br><br>**To Fix:** Review email templates and ensure all variables match the supported variable list. Use {candidate_name}, {position_title}, {company_name}, etc.			Update	Core Talent Management (Employee Profiles and Career Hub homepage)					Need More Info
Talent Managment Core	Talent Management - Core	Employee Engagement Enabled	employee_engagement_enabled		Checks whether employee engagement features are enabled in Career Hub to track and encourage participation in upskilling and career development workflows.<br><br><h5>Impact of Failure</h5>If not enabled, employee engagement tracking and related workflows will not function, reducing visibility into participation.	**Purpose:** Validates that employee engagement tracking is enabled in Career Hub, allowing the platform to measure and report on employee participation in development activities like upskilling, career planning, and skill assessments.<br><br>**Impact:** Without engagement tracking, organizations cannot measure adoption of TM features, identify disengaged employees, or demonstrate ROI of talent management initiatives.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub Base Config. Set 'employee_engagement_enabled' to true. Configure engagement metrics to track (logins, course completions, skill updates, etc.).	skill_assessments_v2	Skill Assessments v2	Update	Core Talent Management (Employee Profiles and Career Hub homepage)	Checks whether employee engagement features are enabled in Career Hub to track and encourage participation in upskilling/development plan workflows.<br><br><h5>Impact of Failure</h5>If not enabled, employee engagement tracking and related workflows will not function, reducing visibility into participation.			desc and align	Partial Complete
Talent Managment Core	Talent Management - Core	Employee Hiring Bands	employee_hiring_bands		Ensures that employee hiring bands are set up and linked to the correct seniority levels in the calibration settings. This helps align employees and roles by level, enabling accurate search, recommendations, and analytics.<br><br><h5>Impact of Failure</h5>Missing or incorrect bands can lead to mismatched job recommendations, broken filters, and inaccurate seniority-based indexing.	**Purpose:** Validates that hiring bands are configured to define role hierarchy. Bands determine job eligibility based on employee level.<br><br>**Impact:** Without hiring bands, job recommendations cannot be filtered by eligibility, and Career Navigator paths may not function correctly.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Internal Mobility. Configure job_bands with your organization's level structure. Map each band to seniority levels.	base_tm	Basic TM	Update	Core Talent Management (Employee Profiles and Career Hub homepage)	Ensures that employee hiring bands are set up and linked to the correct seniority levels in the calibration settings. This aligns employees and roles by level, enabling accurate search, recommendations, and analytics.<br><br><h5>Impact of Failure</h5>Missing or incorrect bands can lead to mismatched job recommendations, broken filters, inaccurate seniority-based indexing, and will also affect mentorship recommendations if hiring bands are not configured.			desc and align	Partial Complete
Talent Managment Core	Talent Management - Core	Skills across all courses	course_skills_count_rule		Checks whether courses have skills tied to them, which is essential for filtering and recommending courses in the upskilling plan workflow.<br><br><h5>Impact of Failure</h5>Courses without associated skills cannot be recommended accurately, reducing the effectiveness of upskilling recommendations.	**Purpose:** Measures the percentage of courses with skills tagged. Skills on courses enable accurate recommendations for upskilling plans.<br><br>**Impact:** Courses without skills cannot be recommended accurately for skill development, reducing effectiveness of learning recommendations.<br><br>**To Fix:** Tag courses with relevant skills via LMS integration or manual assignment. Use AI to infer skills from course titles and descriptions.	Courses	Courses	Keep as is	Courses					Complete
Talent Managment Core	Talent Management - Core	My courses	my_courses		"Ensures the ""My Courses"" section is available in the Career Hub navigation bar, providing employees with access to assigned, in-progress, and completed courses in one place.<br><br><h5>Impact of Failure</h5>If missing, employees may struggle to track learning progress or locate relevant courses, reducing participation in development initiatives."	"**Purpose:** Validates that the ""My Courses"" section is available in Career Hub navigation, providing a central location for employees to track their learning.<br><br>**Impact:** Without My Courses, employees cannot easily track assigned, in-progress, and completed courses in one place.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub → Navigation. Add 'my_courses' to navigation items."	courses	Learning/ Courses	Keep as is	Courses					Complete
Talent Managment Core	Talent Management - Core	Courses explore	explore_course		"Ensures the ""Courses Explore"" feature is enabled, allowing employees to browse and search for courses using various filters to discover learning opportunities aligned with their goals.<br><br><h5>Impact of Failure</h5>If not enabled, employees may struggle to find relevant courses, reducing participation in learning initiatives."	**Purpose:** Validates that Course exploration is enabled, allowing employees to browse and discover learning opportunities.<br><br>**Impact:** Without course exploration, employees cannot discover new learning opportunities aligned with their career goals.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub → Explore. Enable course exploration feature.	courses	Learning/ Courses	Keep as is	Courses					Complete
Talent Managment Core	Talent Management - Core	Courses global search	global_search_course		Ensures courses are integrated into Global Search, allowing employees to find relevant courses alongside other entities within the platform.<br><br><h5>Impact of Failure</h5>If not enabled, employees may find it difficult to search for courses, reducing participation in development programs.	**Purpose:** Validates that courses are included in Global Search, allowing employees to find courses alongside other content.<br><br>**Impact:** Without global search integration, employees must navigate separately to find courses, reducing discoverability.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Global Search. Enable courses in searchable entity types.	courses	Learning/ Courses	Keep as is	Courses					Complete
Talent Managment Core	Talent Management - Core	Skills across all courses	course_skills_count_rule		Tracks the percentage of courses with associated skills, ensuring course suggestions for upskilling plans are relevant and skills-based.<br><br><h5>Impact of Failure</h5>Low skill mapping reduces the effectiveness of course recommendations for upskilling plans.	**Purpose:** Measures the percentage of courses with skills tagged. Skills on courses enable accurate recommendations for upskilling plans.<br><br>**Impact:** Courses without skills cannot be recommended accurately for skill development, reducing effectiveness of learning recommendations.<br><br>**To Fix:** Tag courses with relevant skills via LMS integration or manual assignment. Use AI to infer skills from course titles and descriptions.	courses	Learning/ Courses	Update	Courses	Tracks the percentage of courses with associated skills, ensuring course suggestions for upskilling plans, career navigator paths & course recommendations are relevant and skills-based.<br><br><h5>Impact of Failure</h5>Low skill mapping reduces the effectiveness of course recommendations across TM			desc and align	Partial Complete
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of employees should have level	employee_level_quality		Checks if most employees have a level defined in their profile, which is essential for seniority inference and accurate role initialization in Career Navigator.<br><br><h5>Impact of Failure</h5>Missing employee levels can break matching, reduce recommendation quality, and disrupt seniority-based workflows.	**Purpose:** Validates that employee profiles have a defined level/grade. Levels are used for seniority inference, role matching, and Career Navigator path recommendations.<br><br>**Impact:** Missing levels affect job eligibility calculations, succession planning accuracy, and internal mobility recommendations. Career Navigator cannot properly initialize roles without level data.<br><br>**To Fix:** Ensure levels are ingested from HRIS. Map HRIS levels to Eightfold's level schema. Verify levels appear in employee profiles. Check level mapping in Admin Console → Internal Mobility.	career_navigator	Career Navigator	Update	Data Health					Need More Info
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of employees should have their associated levels defined in Internal mobility config	employee_levels_in_internal_mobility_config_quality		Checks if employee levels are defined in the Internal Mobility configuration, which is critical for role hierarchy and accurate matching in Career Navigator.<br><br><h5>Impact of Failure</h5>Missing level configurations can lead to incorrect eligibility calculations and limit internal mobility workflows.	**Purpose:** Validates that employee levels are properly configured in Internal Mobility settings, enabling correct band-based job eligibility.<br><br>**Impact:** Without proper level configuration, employees may not see appropriate job opportunities.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Internal Mobility. Verify all employee levels are mapped in the configuration.	career_navigator	Career Navigator	Update	Data Health					Need More Info
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of employees should have job code	employee_job_code_quality		Checks whether employees have job codes defined in their profiles. Job codes are critical in Talent Management for succession planning, Career Navigator, and linking employees to roles. They also help auto-initialize roles based on employee count.<br><br><h5>Impact of Failure</h5>If job codes are missing, role mapping and initialization may fail, affecting downstream workflows like succession tracking and internal mobility visibility.	**Purpose:** Measures the percentage of employees with job codes defined. Job codes uniquely identify roles and are critical for role-based workflows.<br><br>**Impact:** Without job codes, employees cannot be properly mapped to roles in Talent Design. This breaks succession planning, internal mobility matching, and role-based analytics.<br><br>**To Fix:** Ensure job codes are ingested from HRIS during employee data sync. Verify job code field mapping. Check that job codes match role definitions in Talent Design.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of employees should have level	employee_level_quality		Checks whether most employees have a level defined in their profiles. Levels are used to infer employee seniority and help auto-initialize roles with the appropriate seniority for planning and mobility workflows.<br><br><h5>Impact of Failure</h5>Missing level data affects seniority inference, which can break key features like matching, recommendations, and role creation logic.	**Purpose:** Validates that employee profiles have a defined level/grade. Levels are used for seniority inference, role matching, and Career Navigator path recommendations.<br><br>**Impact:** Missing levels affect job eligibility calculations, succession planning accuracy, and internal mobility recommendations. Career Navigator cannot properly initialize roles without level data.<br><br>**To Fix:** Ensure levels are ingested from HRIS. Map HRIS levels to Eightfold's level schema. Verify levels appear in employee profiles. Check level mapping in Admin Console → Internal Mobility.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	Employee business unit quality	employee_business_unit_quality		Checks whether most employees have a Business Unit (BU) defined in their profiles. This field is essential for organizational grouping, permissioning, analytics, and segmentation in Talent Management workflows.<br><br><h5>Impact of Failure</h5>Missing Business Unit values can lead to misaligned access permissions, broken analytics, and ineffective organizational grouping in the platform.	**Purpose:** Validates that employees have Business Unit (BU) assignments, which are essential for organizational grouping, permissioning, and analytics segmentation.<br><br>**Impact:** Missing BU data affects HRBP permissions (which are often BU-scoped), organizational reporting, and workforce planning by business area.<br><br>**To Fix:** Verify BU field is mapped from HRIS. Ensure all employees have BU assignments. Check BU values match expected organizational structure in Admin Console → Provisioning.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of positions should have hiring_band	position_hiring_band_data_quality		Checks whether most positions have a hiring band defined. Hiring bands are critical for enabling job recommendations within the eligible band range, based on the employee's level.<br><br><h5>Impact of Failure</h5>Missing hiring band data prevents accurate job recommendations and breaks band-based eligibility logic in Career Hub workflows.	**Purpose:** Measures the percentage of positions with hiring band data defined. Hiring bands determine job level for eligibility filtering.<br><br>**Impact:** Positions without hiring bands cannot be properly filtered for internal mobility eligibility.<br><br>**To Fix:** Ensure positions have hiring_band field populated via ATS integration or manual assignment.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of employees should have location	employee_location_quality		Checks whether most employees have a location defined in their profile. Employee location is essential for accurate job recommendations, geo-based insights, and experience personalization.<br><br><h5>Impact of Failure</h5>Missing location data limits personalized experiences, reduces relevance of job recommendations, and may affect location-based reporting and permissions.	**Purpose:** Measures the percentage of employees with location data, which is essential for geo-based job recommendations and location-specific reporting.<br><br>**Impact:** Missing location data limits personalization of job recommendations and affects location-based workforce analytics and planning.<br><br>**To Fix:** Map location fields from HRIS. Verify location data includes sufficient granularity (country, state/region, city). Check location normalization in employee profiles.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of employees should have hiring_date	employee_hiring_date_quality		Checks whether most employees have a hiring date defined in their profile. Hiring date is essential for tenure calculations, workforce analysis, and insights related to attrition and experience.<br><br><h5>Impact of Failure</h5>Missing hiring dates can impact employee tenure analytics, reduce accuracy of workforce reports, and affect downstream features such as retention tracking.	**Purpose:** Validates that employees have hiring dates defined, which are essential for tenure calculations and workforce analytics.<br><br>**Impact:** Missing hiring dates affect tenure-based eligibility rules, retention analytics, and workforce experience reporting.<br><br>**To Fix:** Map hire_date field from HRIS. Verify date format is correctly parsed. Check that hiring dates appear correctly in employee profiles.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of employees should have seniority level	employee_current_title_seniority_quality		Checks whether most employees have a seniority level derived from their current title. Seniority is essential for talent management workflows, influencing job recommendations, benchmarking, and succession planning.<br><br><h5>Impact of Failure</h5>Missing seniority levels can lead to inaccurate matching, ineffective internal mobility recommendations, and breakdowns in career pathing logic.	**Purpose:** Measures the percentage of employees with seniority level derived from their current title. Seniority is inferred by AI from job titles.<br><br>**Impact:** Missing seniority affects job matching accuracy, internal mobility recommendations, and succession planning eligibility.<br><br>**To Fix:** Ensure current titles are populated in employee profiles. AI will infer seniority automatically. For custom seniority mappings, configure in Admin Console → Calibration Settings.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of employees should have lob (Line of Business)	employee_division_quality		Checks whether most employees have a defined division (Line of Business). Division data is crucial for understanding employee roles and for auto-initializing role business functions in career and mobility workflows.<br><br><h5>Impact of Failure</h5>Missing division (LOB) values may result in inaccurate role mapping and broken logic for career pathing, recommendations, and workforce planning.	**Purpose:** Validates that employees have division/Line of Business (LOB) data, which helps with role initialization and business function inference.<br><br>**Impact:** Missing division data affects role grouping, workforce planning by business area, and analytics segmentation.<br><br>**To Fix:** Map division field from HRIS. Verify LOB values are consistent and match organizational structure. Check division appears in employee profiles.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of roles should have job code	role_job_code_quality		Checks whether most roles have a job code defined. Job codes uniquely identify roles and enable Talent Management products to map employees to the correct roles and support accurate succession, pipeline, and mobility workflows.<br><br><h5>Impact of Failure</h5>Missing job codes for roles can break employee-role mapping, reduce matching accuracy, and affect downstream processes that rely on role uniqueness.	**Purpose:** Validates that roles in Talent Design have job codes defined, enabling mapping between employees and roles.<br><br>**Impact:** Roles without job codes cannot be matched to employees, breaking succession planning and internal mobility workflows.<br><br>**To Fix:** Navigate to Admin Console → Talent Design → Roles. Add job codes to role definitions. Ensure job codes match those in employee profiles.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of roles should have titles	role_title_quality		Checks whether most roles have titles defined. Titles are critical for all roles as they drive recommendations and support matching in Talent Management modules like Career Navigator.<br><br><h5>Impact of Failure</h5>Missing role titles can break job matching, reduce recommendation quality, and impact visibility in career planning workflows.	**Purpose:** Validates that roles have titles defined. Titles are used for matching, display, and Career Navigator recommendations.<br><br>**Impact:** Roles without titles cannot be properly displayed or matched, affecting all TM features that depend on role data.<br><br>**To Fix:** Navigate to Admin Console → Talent Design → Roles. Ensure all roles have meaningful titles. Use consistent naming conventions.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of roles should have an associated level	role_level_quality		Checks whether most roles have an associated level defined. Levels help determine role seniority and hierarchy, supporting accurate recommendations and career pathing in Talent Management modules like Career Navigator.<br><br><h5>Impact of Failure</h5>Missing role levels can break seniority inference, reduce the effectiveness of matching and recommendations, and affect career planning workflows.	**Purpose:** Validates that roles have associated levels/grades defined, which determine seniority and hierarchy.<br><br>**Impact:** Roles without levels cannot be properly ordered in Career Navigator paths and affect succession planning eligibility.<br><br>**To Fix:** Navigate to Admin Console → Talent Design → Roles. Assign levels to all roles. Ensure levels match the organization's job architecture.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of roles should have their associated levels defined in Internal mobility config	role_levels_in_internal_mobility_config_quality		Checks whether most roles have their associated levels defined in the Internal Mobility configuration. This setup is critical for understanding role hierarchy and supporting eligibility, matching, and internal mobility workflows.<br><br><h5>Impact of Failure</h5>Missing role levels in the configuration can lead to incorrect eligibility checks, poor matching, and breakdowns in career planning workflows.	**Purpose:** Validates that role levels defined in Talent Design are also configured in Internal Mobility for proper eligibility calculations.<br><br>**Impact:** Missing level configurations cause eligibility rules to fail for certain levels.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Internal Mobility. Ensure all levels from Talent Design are configured in job bands.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of roles should have business function	role_lob_quality		Checks whether most roles have a business function defined. Business functions help determine the domain of a role and influence job recommendations and matching in Career Navigator and other Talent Management modules.<br><br><h5>Impact of Failure</h5>Missing business function data can reduce the quality of recommendations, affect domain-based matching, and break role grouping in career planning workflows.	**Purpose:** Validates that roles have business function/Line of Business defined, which helps with domain-based matching and role grouping.<br><br>**Impact:** Roles without business function cannot be properly categorized, affecting Career Navigator and succession planning.<br><br>**To Fix:** Navigate to Admin Console → Talent Design → Roles. Assign business functions to roles based on organizational structure.	base_tm	Basic TM	Update	Data Health					
Talent Managment Core	Talent Management - Core	More than {{ metric_data_json.min_threshold }}% of projects should have skills	projects_with_skills_rule		Checks whether most projects have skills tagged. Associating skills with projects helps showcase employee capabilities, supports accurate skill mapping, and improves internal mobility and development planning.<br><br><h5>Impact of Failure</h5>Projects without skills reduce the platform's ability to infer employee capabilities, impacting skill-based recommendations and visibility in internal searches.	**Purpose:** Validates that projects have skills tagged, which helps showcase employee capabilities and enables skill-based project matching.<br><br>**Impact:** Projects without skills cannot be used for skill inference or accurate project recommendations.<br><br>**To Fix:** Enable skill tagging for projects. Encourage project owners to add relevant skills when creating projects.	base_tm	Basic TM	Update	Data Health					
