SKU	Product Area	Feature Alignment	Rule Name	Rule ID	Config Reference	Description	Impact	Current Feature Name	Current Feature ID	Action	Notes
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Application Workflows	PCS Base Configuration Enabled	pcsx_base_enabled_cs	PCS base configuration not enabled. Go to integrations/pcsx_base_config and set enabled: true.	Ensures that PCS base configuration is present and enabled. This is the foundational config for all career site functionality.	Career site will not be accessible to candidates without base configuration.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Application Workflows	Application Form Configured	apply_form_configured_cs	Application form not configured. Go to integrations/pcsx_base_config > Apply Form and configure: 1. Required application fields 2. Optional fields 3. Field validation rules 4. Application workflow type	Ensures that application form configuration exists, defining which fields candidates must complete and the application workflow.	Candidates cannot apply to positions without form configuration.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Candidate Portal Profile	Careerhub Logged In Candidate Max Resume Size Bytes	careerhub_candidate_max_resume_size_bytes		Ensures the maximum allowed size for resume uploads is configured for logged-in candidates in the Career Hub. This configuration helps prevent errors during job applications and enhances the user experience.	Missing or improperly configured resume size limits can result in upload failures, frustrating users and leading to increased drop-offs in the application process.	Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Candidate Portal Profile	Login and Signup Configuration Valid	login_signup_configured_cs	Login/signup not configured. Go to integrations/login_signup_config and configure: 1. Authentication method 2. Required signup fields 3. Email verification settings 4. Password requirements	Ensures that login and signup configuration is valid, defining how candidates create accounts and authenticate.	Candidates cannot create accounts or log in without proper configuration.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Candidate Portal Profile	Profile Fields Configured	profile_fields_configured_cs	Profile fields not configured. Go to integrations/candidate_profile_config and define profile fields: 1. Basic info 2. Experience fields 3. Education fields 4. Skills and certifications 5. Mark fields as required or optional	Ensures that profile fields are defined, specifying what information candidates can display in their profiles.	Candidates will be unable to maintain a living profile with their latest skills, experience, education, etc., thereby impacting the quality of matching job recommendations.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Candidate Portal Profile	Candidate Profile Configuration Enabled	candidate_profile_enabled_cs	Candidate profile not enabled. Go to integrations/candidate_profile_config and set enabled: true.	Ensures that candidate profile configuration is enabled, allowing candidates to create and manage their profiles.	Candidates cannot create profiles or save information for future applications.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Candidate Portal Profile	Candidate login enabled	candidate_login_enabled		This rule ensures that login functionality is enabled for candidates on the Personalised Career Site, allowing them to securely access their profiles, job matches, and applications. This feature provides candidates logged-in experience, providing personalization and enhanced engagement.	If this feature is not enabled (default is false), candidates will not have access to a logged-in experience, leading to a less personalized experience, potentially decreasing engagement and satisfaction.	Logged in PCS (with COP and Job Notifications)	logged_in_pcs	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Career Site Dashboard	Career Site dashboard should be provisioned	pcs_dashboards		Ensures the Career Site Dashboard is provisioned to provide insights into job views, applications, and overall site performance.	Missing dashboards reduce visibility into key metrics, limiting optimization opportunities.	Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Copilot Candidate	Candidate Copilot Configuration Enabled	chatbot_config_enabled_cs	Candidate copilot not enabled. Go to integrations/chatbotx_config and set enabled: true for candidate copilot.	Ensures that candidate-facing copilot (chatbot) is configured and enabled, providing AI assistance to candidates.	Candidate copilot features will not be available on career site.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Domain White-labeling	Custom Domain Configuration Valid	custom_domain_configured_cs	Custom domain not configured. Go to integrations/domain_whitelabeling_config and configure: 1. Custom domain name 2. Verify DNS CNAME record 3. Ensure SSL certificate is valid 4. Test domain accessibility	Ensures that custom domain is configured with valid domain name format. DNS settings should be verified for proper routing.	Career site will use default Eightfold domain instead of company's branded domain.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Domain White-labeling	SSL Certificate Valid	ssl_certificate_valid_cs	SSL certificate issue detected. Go to integrations/domain_whitelabeling_config and verify: 1. SSL certificate is uploaded 2. Certificate matches domain name 3. Certificate is not expired 4. Certificate chain is complete	Ensures that SSL certificate is present and valid for secure HTTPS access to career site.	Career site will show security warnings or be inaccessible via HTTPS.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Alerts	Job Alerts Configuration Enabled	job_alerts_enabled_cs	Job alerts not enabled. Go to integrations/notification_config and enable job alerts for candidate product.	Ensures that job alerts are configured and enabled in notification settings, allowing candidates to receive personalized job recommendations.	Candidates will not receive job alert emails.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Alerts	Job Alert Frequency Configured	job_alert_frequency_configured_cs	Alert frequency not configured. Go to integrations/candidate_notifications_config and configure frequency options: 1. Daily 2. Weekly 3. Bi-weekly 4. Real-time	Ensures that job alert frequency settings are configured, allowing candidates to choose how often they receive alerts.	Job alerts may send too frequently or not at all without frequency configuration.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Distribution & SEO	Job Feed Configuration Enabled	job_feed_enabled_cs	Job feed not enabled. Go to integrations/job_feed_config and set enabled: true.	Ensures that job feed configuration is enabled, allowing generation of XML feeds for job board distribution and SEO.	Jobs will not be distributed to job boards or search engines.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Distribution & SEO	SEO Configuration Valid	seo_config_valid_cs	SEO not configured. Go to integrations/pcsx_base_config > SEO and configure: 1. Meta title and description templates 2. Structured data (JSON-LD) 3. Sitemap generation enabled 4. Canonical URLs 5. Open Graph tags	Ensures that SEO configuration is valid, including meta tags, structured data markup, and sitemap settings for search engine optimization.	Career site will have poor search engine visibility and rankings.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Distribution & SEO	XML Feeds	pcsx_job_feeds		This rule checks if XML feeds (eg. for Indeed, Linkedin) are enabled. XML feeds improve job visibility by seamlessly connecting the PCS with major job boards like LinkedIn and Indeed, thereby attracting a broader range of candidates.	XML feeds will not be enabled, significantly reducing external job visibility on major job boards like LinkedIn and Indeed, which can lower application volume, increase time-to-fill, and limit access to a diverse candidate pipeline.	XML feeds	xml_feeds	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Search and Discovery	At least one PCS position	pcs_position_fq_count_rule		At least one position is displayed in PCS.	No jobs will be shown in PCS.	Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Search and Discovery	Search Configuration Enabled	search_config_enabled_cs	Search not configured. Go to integrations/pcsx_base_config > Search and configure search settings: 1. Enable search functionality 2. Configure search filters 3. Set default search behavior 4. Configure sort options	Ensures that search configuration is enabled, allowing candidates to search and filter jobs on career site.	Candidates cannot search for jobs effectively without search configuration.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Search and Discovery	Search Filters Configured	search_filters_available_cs	Search filters missing. Go to integrations/pcsx_base_config > Search and configure filters: 1. Location/Geography 2. Department/Function 3. Job Type 4. Remote/Hybrid/Onsite 5. Experience Level	Ensures that job search filters are configured, allowing candidates to refine search results by various criteria.	Candidates can search but cannot filter results, leading to poor user experience.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Search and Discovery	PCS enabled	pcsx_enabled		Confirms PCS is enabled to offer a customized application experience to candidates.	An enabled PCS improves engagement, application efficiency, and the overall candidate experience.	Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Join Talent Network	Talent network	talent_network		This rule checks if Talent Network is set up. This allows candidates visiting the career site to fill a form with key details and upload their resume, to be considered as a lead in future hiring pipelines.	If not set up, candidates will not be able to add themselves to the company's talent pool, to be considered as a lead and receive email notifications.	Talent network	talent_network	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Join Talent Network	Talent Network Configuration Enabled	talent_network_enabled_cs	Talent network join not enabled. Go to integrations/smart_apply_config and enable talent network join option.	Ensures that talent network join feature is enabled in smart apply configuration, allowing candidates to join without applying to specific positions.	Candidates cannot join talent network, limiting talent pool growth.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Join Talent Network	Talent Network Form Configured	talent_network_form_configured_cs	Join form not configured. Go to integrations/smart_apply_config and configure talent network form: 1. Required fields 2. Optional fields 3. Consent/privacy checkboxes 4. Form validation rules	Ensures that talent network join form is configured, defining what information candidates provide when joining.	Join form may be incomplete or fail to capture necessary candidate information.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Landing Pages	Landing Pages Configuration Enabled	landing_config_enabled_cs	Landing pages not configured. Go to integrations/landing_config and initialize configuration.	Ensures that landing page configuration is enabled, allowing upload and hosting of custom landing pages.	Custom landing pages cannot be created or accessed.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Landing Pages	Landing Page URLs Valid	landing_pages_valid_cs	Landing page URLs invalid. Go to integrations/landing_config and verify: 1. Each landing page has valid URL path 2. URLs don't conflict with system routes 3. Pages are accessible via configured URLs 4. Redirects are properly configured if needed	Ensures that landing pages have valid URLs configured and are accessible. URLs should follow proper format and routing.	Landing pages will be inaccessible via their intended URLs.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Microsites	Microsite Configurations Valid	microsite_configs_valid_cs	Microsite configuration incomplete. Go to integrations/pcsx_base_config > Microsites and verify each microsite has: 1. Unique identifier 2. Branding settings 3. Domain/subdomain mapping 4. Job filter rules 5. Navigation and footer customization	Ensures that each microsite has complete configuration including branding, domain mapping, and job filters.	Microsites will not display correctly or show wrong job listings.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Microsites	Microsite Profile and Application Isolation	microsite_profile_isolation_cs		Ensures that candidate login sessions, profiles, and applications are isolated between parent career site and microsites. Candidates should have separate accounts and application histories per microsite.	Candidates see applications from other microsites, branding bleeds across sites, and logout redirects to wrong site, creating confusion and poor experience.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	People You May Work With	People You May Work With Enabled	pymww_enabled_cs	People You May Work With not enabled. Go to integrations/pcsx_base_config > position_details_config > sections_config and enable pymww_config section.	Ensures that the People You May Work With feature is enabled on job detail pages, showing candidates potential future colleagues in the same team or department.	Candidates will not see potential colleagues on job pages, reducing engagement and transparency.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	People You May Work With	PYMWW Criteria Configured	pymww_criteria_configured_cs	Go to integrations/pcsx_base_config > position_details_config > sections_config > pymww_config and add the fq for PYMWW results.	Configures selection criteria for People You May Work With including: 1. Department/team matching 2. Location matching 3. Role level matching 4. Number of employees to display 5. Privacy/opt-in settings	PYMWW section will show irrelevant or no employees without proper criteria configuration.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Pixel Tracking and Analytics	Tracking Scripts Valid	tracking_scripts_valid_cs	Tracking scripts invalid. Go to integrations/tracking_pixel_config and verify: 1. JavaScript syntax is valid 2. Scripts are assigned to correct events 3. Third-party script URLs are accessible 4. Scripts don't conflict with each other 5. Test scripts in browser console	Ensures that tracking scripts have valid JavaScript syntax and are configured to trigger on appropriate events (page load, application, etc.).	Tracking will fail or not trigger, causing data gaps in analytics.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Skills-Based Hiring	PCS and TA Match Score Consistency	pcs_ta_match_score_consistency		Ensures that match scores displayed to candidates on PCS match the scores shown to recruiters in TA for the same candidate-job combination, preventing confusion and maintaining transparency.	Candidates see different match ratings on PCS than recruiters see in TA (e.g., 4.5 stars vs 'good match'), creating mistrust and inconsistent candidate experience.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Apply	Link off Enabled	linkoff_enabled_cs	Linkoff config is not enabled. Go to Integrations > pcsx_base_config > apply_form_config > link_off_apply_config and set enabled to true	Ensures that Linkoff is configured and enabled.	Applications will be routed to smart apply flow.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Apply	Link off redirection Configured	linkoff_redirection_cs	Linkoff config is enabled but redirect url is not added. Go to Integrations > pcsx_base_config > apply_form_config > link_off_apply_config and add apply_redirect_url	Ensures that Linkoff is enabled and configured to route to proper application link.	Applications will be routed to smart apply flow.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Apply	Smart Apply Configuration Enabled	smart_apply_enabled_cs	Smart Apply not enabled. Go to integrations/smart_apply_config and set enabled: true.	Ensures that Smart Apply is configured and enabled with proper ATS integration settings for application sync.	Applications will not sync to ATS, breaking the recruiting workflow.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Apply	Field Mapping Complete	field_mapping_complete_cs	Field mapping incomplete. Go to integrations/smart_apply_config > Field Mapping and map all required fields: 1. Basic candidate info 2. Resume/CV 3. Application responses 4. Source tracking 5. Custom fields 6. Verify mappings with test application	Ensures that field mappings are complete, defining how candidate data maps from Eightfold to ATS fields.	Application data will be incomplete or fail to sync to ATS.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Apply	PCS Max Resume Size Bytes	pcsx_max_resume_size_bytes		This rule ensures the maximum resume upload size for PCS application submissions is configured and enforced. Default is 20 MB (20971520 bytes).	If set higher than your ATS limit, uploads can be accepted by PCS but rejected by the ATS, causing failed applications. If set too low, candidates may be blocked from uploading valid resumes, increasing drop-offs and support burden.	Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Apply	Dedupe position questions	dedup_pos_questions		This rule checks if dedup_pos_questions is set to true in smart_apply_config (Talent Experience > Referrals & Talent Network). This ensures that questions across multiple positions in the job cart are deduplicated when candidates apply for multiple jobs. By reducing redundancy, this feature streamlines the application process, making it more efficient and user-friendly.	If not enabled (default is false), candidates may face duplicate questions when applying to multiple positions, leading to frustration and higher application drop-off rates.	Job cart	job_cart	Update	Please move this to pcsx_base_config
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Apply	Upload resume before apply	pcsx_upload_resume_before_apply		This rule checks if smart_apply_config > upload_resume_before_apply is set to true (Talent Experience > Referrals & Talent Network).	If not set to true (default is true), candidates will be able to submit applications without uploading a resume.	Resume upload	upload_resume_before_apply	Update	Please move this to pcsx_base_config
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Job Insights	Star threshold	star_threshold		This rule ensures that pcx_base_config > search_config > strong_match_threshold is configured to define the minimum criteria for matching candidates to job roles. This prevents irrelevant or poorly matched candidates from being displayed as potential applicants. (Talent Experience > PCS IX)	Without configuring this threshold, the system may surface irrelevant matches, leading to poor candidate and recruiter experiences.			New/Add	strong_match_threshold
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Referrals	Applicant source id validation rule	valid_applicant_source_id		This rule checks if referrer_src_map or/and add_application_sources is/are configured with valid source ids.		Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Referrals	Smart Referrals Configuration Enabled	referrals_enabled_cs	Smart referrals not enabled. Go to integrations/smart_apply_config and enable referrals functionality.	Ensures that smart referral feature is configured and enabled, allowing employees to refer candidates with AI matching.	Employee referral functionality will not be available.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Smart Referrals	Referral Workflow Configured	referral_workflow_configured_cs	Referral workflow not configured. Go to integrations/smart_apply_config > Referrals and configure: 1. Referral submission form 2. Status tracking and notifications 3. Reward/incentive rules 4. Referral approval workflow 5. Dashboard for employees to track referrals	Ensures that referral workflow is configured, defining how referrals are submitted, tracked, and potentially rewarded.	Referral process will be incomplete or confusing for employees.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Source Tracking	Source Parameters Configured	source_parameters_configured_cs	Source parameters not configured. Go to integrations/source_map_config and configure: 1. UTM parameter mapping 2. Referral source codes 3. Default source assignment 4. Source taxonomy/hierarchy 5. Source persistence settings	Ensures that source tracking parameters are configured, defining how different sources are identified and tracked (UTM params, referral codes, etc.).	Sources will not be captured correctly, leading to inaccurate attribution.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Source Tracking	Source Tracking Configuration Enabled	source_tracking_enabled_cs	Source tracking not enabled. Go to integrations/pcsx_base_config > Source Tracking and set enabled: true.	Ensures that source tracking is configured and enabled, capturing where candidates come from before applying.	Cannot track recruitment marketing effectiveness or candidate sources.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Source Tracking	Source ATS Sync Configured	source_ats_sync_configured_cs	Source sync not configured. Go to integrations/smart_apply_config > Source Mapping and configure source field mapping to ATS source field.	Ensures that source tracking data is mapped to sync with applications to the ATS, maintaining source attribution.	Source tracking data will be lost when applications sync to ATS.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Withdraw Application	Withdraw Application Enabled	withdraw_enabled_cs	Withdraw functionality not enabled. Go to integrations/pcsx_base_config > Applications and enable withdraw application option.	Ensures that withdraw application feature is enabled, allowing candidates to withdraw their applications.	Candidates cannot withdraw applications, leading to poor candidate experience.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Withdraw Application	Withdraw Workflow Valid	withdraw_workflow_valid_cs	Withdraw workflow not configured. Go to integrations/pcsx_base_config > Applications > Withdraw and configure: 1. Confirmation dialog 2. Sync to ATS when withdrawn 3. Candidate notification/confirmation email 4. Withdrawal reason collection 5. Grace period for un-withdrawing	Ensures that withdraw workflow is properly configured, including confirmation dialog, ATS sync, and candidate notification.	Withdrawals may not sync to ATS or candidates may withdraw accidentally without confirmation.			New/Add	
Talent Acquisition Core	Talent Acquisition - Core	Candidate Engagement with Email	Email Configuration Enabled	email_config_enabled_cs	email_config is missing or null. Go to integrations/email_config and verify the configuration exists and is saved.	Ensures 'reply_to_domain' and 'send_from_domain' are complete and valid.				New/Add	Instead of checking if the email_config has object or not, we should check for 'reply_to_domain' and 'send_from_domain'
Talent Acquisition Core	Talent Acquisition - Core	Candidate Engagement with Email	The user has permission to send messages but does not have a communication email set	recruiter_missing_communication_email		This function ensures that all users with the PERM_SEND_MESSAGES role permission are properly configured to send communications. It validates that each user has a designated communication email, verifies that the address is authorized for use, and flags any users who lack the appropriate configuration.		TA Operations	ta_operations	Update	
Talent Acquisition Core	Talent Acquisition - Core	Candidate Engagement with SMS	SMS Integration Configured	sms_integration_enabled_cs	SMS integration not configured. Go to integrations/email_config and verify: 1. SMS provider is selected (e.g., Twilio) 2. Provider credentials (API key, auth token) are configured 3. From phone number is set and verified 4. SMS feature is enabled	Ensures that SMS integration is enabled with valid provider configuration (Twilio, etc.). SMS provider credentials and phone number must be configured.	SMS messages cannot be sent without provider configuration.			New/Add	
Talent Acquisition Core	Talent Acquisition - Core	Candidate Engagement with SMS	Communication channels	communication_channels		Verifies that communication channels (sms, whatsapp) are configured for interview scheduling to ensure smooth communication between interviewers and candidates.	Missing configurations for communication channels can disrupt scheduling, reducing interview efficiency.	Scheduling	smart_scheduling	Update	Rule needs to take into account customers that have NOT enabled other communication channels (SMS or Whatsapp).
Talent Acquisition Core	Talent Acquisition - Core	Candidate Engagement with WhatsApp	WhatsApp Integration Configured	whatsapp_integration_enabled_cs	WhatsApp integration not configured. Go to integrations/email_config and verify: 1. WhatsApp Business API provider is configured 2. Business phone number is verified 3. API credentials are valid 4. WhatsApp messaging is enabled. Note: Requires third-party agreement with WhatsApp BSP	Ensures that WhatsApp Business API integration is configured with provider credentials and phone number.	WhatsApp messages cannot be sent without provider configuration.			New/Add	Check for whatsapp_twilio_account_sid, whatsapp_twilio_auth_token, whatsapp_twilio_messaging_service_id
Talent Acquisition Core	Talent Acquisition - Core	Candidate Pipeline	Leads workflow	leads_workflow		This rule verifies the presence of the Leads Workflow tab in the pipeline page.	The Leads Workflow tab on the pipeline page is the initial touchpoint for recruiters as they begin filling positions. Ensuring this tab is available and properly configured is essential for a smooth recruitment process and recruiter productivity.	Pipeline/ Workflows	pipeline_and_workflows	Update	
Talent Acquisition Core	Talent Acquisition - Core	Candidate Pipeline	Applicants workflow	applicants_workflow		This rule verifies the presence of the Applicant Workflow tab on the pipeline page.	The Applicant Workflow tab lists all candidates who have applied or are under consideration for a job requisition. It serves as a central workspace to reviewing and advancing applicants efficiently, ensuring a streamlined recruitment process.	Pipeline/ Workflows	pipeline_and_workflows	Update	With this rule, would it be possible to run a report on against the current configuration to identify the base requirements (ie Contacted, Applicants flows are missing)
Talent Acquisition Core	Talent Acquisition - Core	Candidate Pipeline	Successful Application Stage Advances Per Job Req Template	application_stage_advances_per_job_req_template_rule		Every job requisition template must achieve at least a 90% success rate when advancing stages from Eightfold to the external system. If the stage transition map is configured correctly, stage advances should not fail.		TA Operations	ta_operations	Update	
Talent Acquisition Core	Talent Acquisition - Core	Candidate Profile	Profile Sections Defined	profile_sections_defined_cs	Profile sections not configured. Go to integrations/profile_display_config and ensure at least these sections are enabled: 1. Overview 2. Experience 3. Education 4. Skills	Ensures that key profile sections are defined and enabled. At minimum, overview section should be present.	Profile information cannot be displayed to recruiters without section configuration.			New/Add	
Talent Acquisition Core	Talent Acquisition - Core	Copilot	Copilot Capabilities Configured	copilot_capabilities_configured_cs	Copilot capabilities not configured. Go to integrations/copilot_capability_config and enable at least one capability (e.g., job_description_generation, scheduling_assistant).	Ensures that specific Copilot capabilities (job description generation, scheduling assistance, etc.) are enabled in capability configuration.	Copilot will be enabled but have no usable features.			New/Add	
Talent Acquisition Core	Talent Acquisition - Core	Copilot	Copilot Feature Enabled	copilot_feature_enabled_cs	Copilot not enabled. Go to integrations/copilot_config and set enabled: true.	Ensures that Copilot feature is enabled in configuration. Copilot must be explicitly enabled before use.	Copilot features will not be accessible to users.			New/Add	
Talent Acquisition Core	Talent Acquisition - Core	Diversity Capabilities	Diversity Configuration Enabled	diversity_config_enabled_cs	Diversity configuration missing. Go to integrations/diversity_config and initialize the configuration.	Ensures that diversity configuration object exists. This config controls bias reduction features like profile masking.	Diversity and bias reduction features cannot function without configuration.			New/Add	
Talent Acquisition Core	Talent Acquisition - Core	Diversity Capabilities	Masking Fields Configured	masking_fields_configured_cs	Masking fields not configured. Go to integrations/diversity_config and specify which fields to mask (e.g., age, gender, ethnicity, educational_background).	Ensures that if profile masking is enabled, specific fields are configured to be masked (age, gender, ethnicity, etc.).	Masking feature will be enabled but no fields will actually be masked, defeating the purpose.			New/Add	
Talent Acquisition Core	Talent Acquisition - Core	Diversity Capabilities	Candidate Anonymization Rules	candidate_anonymization_rules_cs		Ensures that anonymization rules are correctly configured to automatically anonymize candidate profiles based on defined criteria (e.g., event end date, inactivity period, talent network opt-out).	Candidate data may not be anonymized according to compliance requirements, creating data privacy and regulatory risks.			New/Add	
Talent Acquisition Core	Talent Acquisition - Core	Global Search	Global Search Configuration Enabled	global_search_enabled_cs	Global search not enabled. Go to integrations/global_search_config and set enabled: true.	Ensures that global search feature is enabled in configuration, allowing recruiters to search across the talent network.	Recruiters cannot search for candidates without global search enabled.			New/Add	
Talent Acquisition Core	Talent Acquisition - Core	Global Search	Search Filters Configured	search_filters_configured_cs	Search filters not configured. Go to integrations/global_search_config and configure filters for: 1. Location 2. Skills 3. Experience/Seniority 4. Current Company 5. Job Title	Ensures that search filters are configured, allowing recruiters to refine searches by location, skills, experience, contact_consent etc.	Search results cannot be filtered effectively without filter configuration.			New/Add	Added contact_consent to description
Talent Acquisition Core	Talent Acquisition - Core	Interview Feedback	Feedback report	feedback_report		Defines the columns, display names, fields, formatting, and widths for the consolidated feedback report. This ensures the report is well-structured, visually clear, and easily interpretable by recruiters, hiring managers, and other stakeholders.	Properly configured columns and formatting improve the usability and professionalism of the feedback report, enabling better hiring decisions and streamlined evaluation processes.	Interview feedback	interview_feedback	Keep as is	
Talent Acquisition Core	Talent Acquisition - Core	Interview Feedback	Dashboard columns list	dashboard_columns_list		Configures the list of columns displayed on the feedback dashboard to provide relevant and actionable information to users. Each column represents a key attribute related to the feedback process, ensuring clarity and usability of the dashboard.	Missing or improperly configured columns can result in incomplete or irrelevant data being displayed, reducing the dashboard's effectiveness and user efficiency.	Interview feedback	interview_feedback	Keep as is	
Talent Acquisition Core	Talent Acquisition - Core	Interview Feedback	Feedback Forms Configured	feedback_forms_configured_cs	Feedback forms not configured. Go to integrations/interview_feedback_config and create at least one feedback form template with questions.	Ensures that feedback form templates are configured. Forms define the structure and questions for interview feedback.	Interviewers cannot submit feedback without form templates.			New/Add	
